"","Exp","Causa","Veh","PersT"
"4633","2017S004454    ","Creuar per fora pas de vianants","Motocicleta","Vianant"
"4689","2017S004505    ","No és causa del  vianant","Motocicleta","Conductor"
"4707","2017S004523    ","No és causa del  vianant","Motocicleta","Conductor"
"4835","2017S004634    ","No és causa del  vianant","Motocicleta","Conductor"
"4837","2017S004636    ","No és causa del  vianant","Motocicleta","Conductor"
"4841","2017S004639    ","Desobeir el senyal del semàfor","Motocicleta","Vianant"
"4862","2017S004656    ","No és causa del  vianant","Motocicleta","Conductor"
"4864","2017S004658    ","No és causa del  vianant","Motocicleta","Conductor"
"4872","2017S004666    ","No és causa del  vianant","Autobús","Passatger"
"4962","2017S004741    ","Desobeir el senyal del semàfor","Motocicleta","Vianant"
"5027","2017S004800    ","No és causa del  vianant","Motocicleta","Conductor"
"5031","2017S004804    ","No és causa del  vianant","Motocicleta","Conductor"
"5085","2017S004853    ","No és causa del  vianant","Motocicleta","Conductor"
"5125","2017S004903    ","No és causa del  vianant","Taxi","Conductor"
"5126","2017S004903    ","No és causa del  vianant","Turisme","Passatger"
"5127","2017S004903    ","No és causa del  vianant","Turisme","Passatger"
"5130","2017S004903    ","No és causa del  vianant","Turisme","Passatger"
"5133","2017S004906    ","No és causa del  vianant","Motocicleta","Conductor"
"5162","2017S004932    ","Creuar per fora pas de vianants","Turisme","Vianant"
"5248","2017S005005    ","Creuar per fora pas de vianants","Motocicleta","Vianant"
"5266","2017S005022    ","No és causa del  vianant","Motocicleta","Conductor"
"5284","2017S005039    ","No és causa del  vianant","Motocicleta","Conductor"
"5327","2017S005082    ","No és causa del  vianant","Motocicleta","Passatger"
"5328","2017S005083    ","No és causa del  vianant","Motocicleta","Conductor"
"5332","2017S005085    ","No és causa del  vianant","Motocicleta","Passatger"
"5333","2017S005085    ","No és causa del  vianant","Motocicleta","Conductor"
"5459","2017S005191    ","No és causa del  vianant","Ciclomotor","Conductor"
"5488","2017S005218    ","Transitar a peu per la calçada","Motocicleta","Vianant"
"5491","2017S005222    ","No és causa del  vianant","Motocicleta","Conductor"
"5504","2017S005235    ","Desobeir el senyal del semàfor","Autobús","Vianant"
"5610","2017S005319    ","No és causa del  vianant","Motocicleta","Conductor"
"6068","2017S005688    ","No és causa del  vianant","Motocicleta","Conductor"
"6232","2017S005828    ","No és causa del  vianant","Motocicleta","Passatger"
"6233","2017S005828    ","No és causa del  vianant","Motocicleta","Conductor"
"6279","2017S005868    ","No és causa del  vianant","Taxi","Vianant"
"6326","2017S005909    ","No és causa del  vianant","Motocicleta","Conductor"
"6348","2017S005929    ","No és causa del  vianant","Camió rígid > 3,5 tones","Vianant"
"6367","2017S005945    ","Desobeir el senyal del semàfor","Turisme","Vianant"
"6382","2017S005959    ","No és causa del  vianant","Motocicleta","Conductor"
"6433","2017S006004    ","No és causa del  vianant","Motocicleta","Passatger"
"6553","2017S006119    ","No és causa del  vianant","Furgoneta","Conductor"
"6594","2017S006154    ","Transitar a peu per la calçada","Autobús","Vianant"
"6641","2017S006193    ","Desobeir el senyal del semàfor","Turisme","Vianant"
"6662","2017S006204    ","No és causa del  vianant","Motocicleta","Passatger"
"6663","2017S006204    ","No és causa del  vianant","Motocicleta","Conductor"
"6702","2017S006243    ","No és causa del  vianant","Turisme","Conductor"
"6764","2017S006294    ","No és causa del  vianant","Ciclomotor","Passatger"
"6765","2017S006294    ","No és causa del  vianant","Ciclomotor","Conductor"
"6883","2017S006392    ","No és causa del  vianant","Motocicleta","Conductor"
"6915","2017S006416    ","No és causa del  vianant","Motocicleta","Conductor"
"7021","2017S006498    ","No és causa del  vianant","Furgoneta","Vianant"
"7022","2017S006498    ","No és causa del  vianant","Furgoneta","Vianant"
"7128","2017S006585    ","No és causa del  vianant","Bicicleta","Vianant"
"7182","2017S006630    ","No és causa del  vianant","Motocicleta","Passatger"
"7184","2017S006630    ","No és causa del  vianant","Motocicleta","Conductor"
"7200","2017S006645    ","Creuar per fora pas de vianants","Turisme","Vianant"
"7333","2017S006746    ","No és causa del  vianant","Ciclomotor","Passatger"
"7468","2017S006855    ","No és causa del  vianant","Turisme","Conductor"
"7563","2017S006938    ","No és causa del  vianant","Motocicleta","Conductor"
"7685","2017S007050    ","No és causa del  vianant","Motocicleta","Conductor"
"7686","2017S007050    ","No és causa del  vianant","Motocicleta","Conductor"
"7737","2017S007090    ","No és causa del  vianant","Motocicleta","Conductor"
"7741","2017S007093    ","No és causa del  vianant","Bicicleta","Conductor"
"7942","2017S007254    ","No és causa del  vianant","Motocicleta","Conductor"
"7998","2017S007303    ","Altres","Turisme","Vianant"
"7999","2017S007304    ","Desobeir el senyal del semàfor","Motocicleta","Vianant"
"8039","2017S007331    ","No és causa del  vianant","Motocicleta","Conductor"
"8040","2017S007333    ","No és causa del  vianant","Motocicleta","Conductor"
"8080","2017S007363    ","No és causa del  vianant","Bicicleta","Conductor"
"8110","2017S007384    ","No és causa del  vianant","Motocicleta","Conductor"
"8114","2017S007388    ","No és causa del  vianant","Ciclomotor","Conductor"
"8115","2017S007388    ","No és causa del  vianant","Ciclomotor","Passatger"
"8189","2017S007450    ","No és causa del  vianant","Motocicleta","Conductor"
"8281","2017S007530    ","No és causa del  vianant","Ciclomotor","Conductor"
"8385","2017S007608    ","Creuar per fora pas de vianants","Turisme","Vianant"
"8484","2017S007692    ","No és causa del  vianant","Ciclomotor","Passatger"
"8556","2017S007754    ","Creuar per fora pas de vianants","Camió rígid > 3,5 tones","Vianant"
"8615","2017S007805    ","No és causa del  vianant","Bicicleta","Conductor"
"8661","2017S007848    ","No és causa del  vianant","Taxi","Vianant"
"8838","2017S007992    ","No és causa del  vianant","Motocicleta","Conductor"
"8862","2017S008008    ","No és causa del  vianant","Motocicleta","Conductor"
"8891","2017S008031    ","No és causa del  vianant","Motocicleta","Conductor"
"8930","2017S008062    ","No és causa del  vianant","Motocicleta","Conductor"
"8958","2017S008084    ","No és causa del  vianant","Motocicleta","Conductor"
"8981","2017S008106    ","No és causa del  vianant","Motocicleta","Conductor"
"9085","2017S008205    ","No és causa del  vianant","Bicicleta","Conductor"
"9126","2017S008242    ","No és causa del  vianant","Motocicleta","Conductor"
"9135","2017S008251    ","No és causa del  vianant","Motocicleta","Passatger"
"9217","2017S008320    ","No és causa del  vianant","Motocicleta","Conductor"
"9404","2017S008478    ","No és causa del  vianant","Motocicleta","Conductor"
"9405","2017S008479    ","No és causa del  vianant","Motocicleta","Conductor"
"9410","2017S008485    ","Altres","Taxi","Vianant"
"9415","2017S008490    ","No és causa del  vianant","Motocicleta","Conductor"
"9449","2017S008515    ","No és causa del  vianant","Motocicleta","Conductor"
"9463","2017S008525    ","No és causa del  vianant","Ciclomotor","Conductor"
"9495","2017S008551    ","Creuar per fora pas de vianants","Turisme","Vianant"
"9647","2017S008683    ","No és causa del  vianant","Motocicleta","Conductor"
"9686","2017S008725    ","No és causa del  vianant","Altres vehicles amb motor","Conductor"
"9767","2017S008794    ","No és causa del  vianant","Turisme","Vianant"
"9828","2017S008852    ","No és causa del  vianant","Bicicleta","Conductor"
"9832","2017S008855    ","No és causa del  vianant","Turisme","Vianant"
"9853","2017S008873    ","Desobeir el senyal del semàfor","Motocicleta","Vianant"
"9886","2017S008900    ","No és causa del  vianant","Motocicleta","Conductor"
"9902","2017S008913    ","No és causa del  vianant","Motocicleta","Conductor"
"9923","2017S008928    ","No és causa del  vianant","Motocicleta","Conductor"
"9937","2017S008936    ","No és causa del  vianant","Motocicleta","Conductor"
"9951","2017S008942    ","No és causa del  vianant","Ciclomotor","Conductor"
"10026","2017S009009    ","Altres","Tot terreny","Vianant"
"10030","2017S009013    ","Creuar per fora pas de vianants","Motocicleta","Vianant"
"10087","2017S009059    ","Creuar per fora pas de vianants","Turisme","Vianant"
"10177","2017S009133    ","No és causa del  vianant","Ciclomotor","Passatger"
"10179","2017S009137    ","No és causa del  vianant","Ciclomotor","Conductor"
"10202","2017S009159    ","No és causa del  vianant","Motocicleta","Conductor"
"10209","2017S009164    ","No és causa del  vianant","Motocicleta","Conductor"
"10222","2017S009174    ","No és causa del  vianant","Ciclomotor","Conductor"
"10226","2017S009177    ","No és causa del  vianant","Motocicleta","Conductor"
"10326","2017S009264    ","No és causa del  vianant","Ciclomotor","Conductor"
"10367","2017S009298    ","No és causa del  vianant","Bicicleta","Conductor"
"10379","2017S009310    ","No és causa del  vianant","Motocicleta","Conductor"
"10385","2017S009314    ","No és causa del  vianant","Motocicleta","Vianant"
"10404","2017S009328    ","Desobeir el senyal del semàfor","Motocicleta","Vianant"
"10444","2017S009359    ","No és causa del  vianant","Turisme","Conductor"
"10463","2017S009372    ","Altres","Turisme","Vianant"
"10477","2017S009385    ","Desobeir el senyal del semàfor","Motocicleta","Vianant"
"10547","2017S009448    ","Altres","Bicicleta","Conductor"
"10607","2017S009499    ","Desobeir el senyal del semàfor","Motocicleta","Vianant"
"10691","2017S009562    ","No és causa del  vianant","Motocicleta","Conductor"
"10704","2017S009571    ","No és causa del  vianant","Bicicleta","Conductor"
"10729","2017S009582    ","Creuar per fora pas de vianants","Turisme","Vianant"
"10732","2017S009585    ","No és causa del  vianant","Motocicleta","Conductor"
"10749","2017S009596    ","Altres","Motocicleta","Conductor"
"10795","2017S009637    ","Creuar per fora pas de vianants","Motocicleta","Vianant"
"10809","2017S009649    ","No és causa del  vianant","Motocicleta","Passatger"
"10810","2017S009649    ","No és causa del  vianant","Motocicleta","Conductor"
"10820","2017S009657    ","No és causa del  vianant","Motocicleta","Conductor"
"10821","2017S009658    ","No és causa del  vianant","Motocicleta","Conductor"
"10896","2017S009723    ","No és causa del  vianant","Bicicleta","Vianant"
"10921","2017S009744    ","Transitar a peu per la calçada","Motocicleta","Vianant"
"10926","2017S009748    ","Desobeir el senyal del semàfor","Motocicleta","Vianant"
"10966","2017S009778    ","No és causa del  vianant","Taxi","Vianant"
"10988","2017S009793    ","No és causa del  vianant","Autobús","Vianant"
"11036","2017S009838    ","Desobeir el senyal del semàfor","Motocicleta","Vianant"
"11037","2017S009838    ","Desobeir el senyal del semàfor","Motocicleta","Conductor"
"11134","2017S009919    ","No és causa del  vianant","Motocicleta","Conductor"
"11160","2017S009943    ","No és causa del  vianant","Furgoneta","Vianant"
"11216","2017S009995    ","No és causa del  vianant","Motocicleta","Vianant"
"11247","2017S010019    ","No és causa del  vianant","Motocicleta","Conductor"
"11263","2017S010033    ","No és causa del  vianant","Altres vehicles sense motor","Conductor"
"11318","2017S010080    ","No és causa del  vianant","Turisme","Vianant"
"11323","2017S010085    ","No és causa del  vianant","Turisme","Vianant"
"11325","2017S010085    ","No és causa del  vianant","Turisme","Vianant"
"11496","2017S010219    ","No és causa del  vianant","Turisme","Vianant"
"11521","2017S010243    ","Desobeir el senyal del semàfor","Autobús","Vianant"
"11591","2017S010300    ","No és causa del  vianant","Motocicleta","Conductor"
"11613","2017S010318    ","No és causa del  vianant","Turisme","Vianant"
"11623","2017S010331    ","Creuar per fora pas de vianants","Turisme","Vianant"
"11644","2017S010350    ","No és causa del  vianant","Motocicleta","Conductor"
"11665","2017S010370    ","No és causa del  vianant","Motocicleta","Conductor"
"11755","2017S010445    ","No és causa del  vianant","Bicicleta","Conductor"
"11808","2017S010485    ","No és causa del  vianant","Motocicleta","Conductor"
"11851","2017S010529    ","No és causa del  vianant","Motocicleta","Conductor"
"11918","2017S010590    ","No és causa del  vianant","Motocicleta","Conductor"
"12084","2017S010731    ","No és causa del  vianant","Motocicleta","Conductor"
